Country,GDP ($ billion),GDP Growth (%),Inflation (%),Public Debt/GDP (%),External Debt/GDP (%),FX Reserves (months imports),Current Account/GDP (%),Credit Rating
Ghana,82.4,3.2,23.8,84.9,52.3,2.8,-3.2,CCC+
Sri Lanka,74.4,-2.3,5.9,107.3,61.8,1.9,-1.8,SD
Zambia,28.5,4.6,10.3,98.7,73.2,2.4,3.2,CCC
Pakistan,340.6,2.4,28.3,77.6,38.9,1.3,-0.8,CCC+
Kenya,110.4,5.4,6.7,68.2,35.8,4.2,-5.1,B
Egypt,475.2,3.8,31.5,92.4,42.3,3.2,-4.2,B-
Nigeria,477.4,3.1,28.6,38.8,22.4,5.8,-2.1,B-
Benchmark EM Average,-,4.2,6.8,58.5,32.4,5.5,-2.4,-
Source: IMF WEO (Oct 2024), World Bank IDS, Bloomberg
